% Module: Sweep, ID: c0p1t8p1cfm0
% Devices: DEV30370
% Time: 2025/12/04 16:14:26
% Demod 1 Sample X, /dev30370/demods/0/sample.X
% Frequency (Hz); Demod 1 Sample X  Amplitude (V)
% Demod 1 Sample Y, /dev30370/demods/0/sample.Y
% Frequency (Hz); Demod 1 Sample Y  Amplitude (V)
188160.2655019548; -2.56428967163e-05
188219.1858089538; -2.5492649675e-05
188278.1245661956; -2.51204401108e-05
188337.0817794576; -2.51202565848e-05
188396.0574545192; -2.46268237854e-05
188455.0515971611; -2.43767997811e-05
188514.0642131669; -2.40712867935e-05
188573.095308321; -2.39616375129e-05
188632.14488841; -2.38380507425e-05
188691.2129592221; -2.37743896967e-05
188750.2995265477; -2.30696035774e-05
188809.4045961786; -2.27629071837e-05
188868.5281739086; -2.30374178803e-05
188927.670265533; -2.24621288306e-05
188986.8308768499; -2.25604025987e-05
189046.0100136583; -2.2367365777e-05
189105.2076817591; -2.20836927745e-05
189164.4238869552; -2.19603686447e-05
189223.6586350513; -2.19260682178e-05
189282.9119318539; -2.17385200993e-05
189342.1837831714; -2.11368795487e-05
189401.4741948135; -2.05810202172e-05
189460.7831725929; -2.07606326958e-05
189520.1107223231; -2.04560838043e-05
189579.4568498195; -2.03530305654e-05
189638.8215608997; -2.01184073341e-05
189698.2048613829; -1.99799366574e-05
189757.6067570901; -1.96721600112e-05
189817.0272538443; -1.97127245564e-05
189876.4663574698; -1.93193898551e-05
189935.9240737938; -1.88961201659e-05
189995.4004086444; -1.89781737067e-05
190054.8953678517; -1.89743333718e-05
190114.4089572478; -1.88318291618e-05
190173.9411826664; -1.87824164662e-05
190233.4920499433; -1.82961977093e-05
190293.0615649156; -1.79931252457e-05
190352.6497334233; -1.77318518409e-05
190412.2565613072; -1.78041669176e-05
190471.8820544103; -1.74856183574e-05
190531.5262185774; -1.75994381781e-05
190591.1890596552; -1.74693543566e-05
190650.870583492; -1.73102821057e-05
190710.5707959383; -1.72105477824e-05
190770.2897028456; -1.68348158828e-05
190830.0273100689; -1.66434830717e-05
190889.7836234634; -1.65172481415e-05
190949.5586488869; -1.64206285345e-05
