% Module: Sweep, ID: c0p1t8p1cfm0
% Devices: DEV30370
% Time: 2025/12/04 16:32:43
% Demod 1 Sample X, /dev30370/demods/0/sample.X
% Frequency (Hz); Demod 1 Sample X  Amplitude (V)
% Demod 1 Sample Y, /dev30370/demods/0/sample.Y
% Frequency (Hz); Demod 1 Sample Y  Amplitude (V)
176942.0534793194; -1.49756415633e-05
176997.3564555375; -1.50209700171e-05
177052.6767166188; -1.52470409675e-05
177108.0142679656; -1.49994302111e-05
177163.3691149819; -1.44803887906e-05
177218.7412630735; -1.44297111111e-05
177274.1307176478; -1.43430174701e-05
177329.537484114; -1.39806807584e-05
177384.9615678828; -1.40128802933e-05
177440.4029743667; -1.41131002433e-05
177495.8617089799; -1.39793148361e-05
177551.3377771384; -1.39733260137e-05
177606.8311842596; -1.36591879201e-05
177662.3419357628; -1.41212720382e-05
177717.870037069; -1.39854911012e-05
177773.4154936009; -1.40490831687e-05
177828.9783107825; -1.37714923395e-05
177884.5584940404; -1.3297975688e-05
177940.1560488022; -1.3094994853e-05
177995.7709804971; -1.28009427388e-05
178051.4032945565; -1.28279688563e-05
178107.052996413; -1.29377884559e-05
178162.7200915013; -1.25822329966e-05
178218.4045852574; -1.23291248819e-05
178274.1064831195; -1.22231707143e-05
178329.8257905271; -1.21748275479e-05
178385.5625129216; -1.21894852702e-05
178441.3166557459; -1.18926570656e-05
178497.0882244448; -1.16629430878e-05
178552.8772244647; -1.16545488883e-05
178608.6836612538; -1.13165907693e-05
178664.5075402619; -1.1068888642e-05
178720.3488669405; -1.10896162747e-05
178776.2076467426; -1.13803724535e-05
178832.0838851237; -1.10362482936e-05
178887.9775875402; -1.09038507848e-05
178943.8887594505; -1.06087249591e-05
178999.8174063145; -1.05015318483e-05
179055.7635335942; -1.04565028915e-05
179111.7271467529; -8.93875022634e-06
179167.7082512558; -9.61964591684e-06
179223.7068525699; -9.8600376041e-06
179279.7229561636; -9.73030977232e-06
179335.7565675075; -9.67267861649e-06
179391.8076920734; -9.70672601875e-06
179447.8763353351; -9.49083091319e-06
179503.962502768; -9.38467149876e-06
179560.0661998494; -9.37025868587e-06
179616.187432058; -9.22363627686e-06
179672.3262048744; -9.08760384937e-06
179728.4825237806; -8.95488310475e-06
179784.6563942613; -8.88547402751e-06
179840.8478218018; -8.63233394768e-06
179897.0568118897; -8.60287418986e-06
179953.2833700139; -8.38678776351e-06
180009.5275016655; -8.2175682897e-06
180065.7892123369; -8.21131769393e-06
180122.0685075225; -7.94306856042e-06
180178.3653927183; -8.01770217584e-06
180234.6798734221; -7.76823450318e-06
180291.0119551331; -7.62355638577e-06
180347.3616433528; -7.59342917931e-06
180403.7289435838; -7.57026708358e-06
180460.1138613309; -7.3461394846e-06
180516.5164021004; -7.25398009789e-06
180572.9365714002; -7.46154834234e-06
180629.3743747403; -7.29136779888e-06
180685.829817632; -7.25556525171e-06
180742.3029055882; -7.1870600124e-06
180798.7936441246; -6.8409973193e-06
180855.3020387576; -6.97364767009e-06
180911.8280950054; -7.19708860608e-06
180968.3718183882; -6.72624932915e-06
181024.9332144278; -6.85162719848e-06
181081.5122886478; -6.49969931287e-06
181138.1090465735; -6.72662444951e-06
181194.7234937319; -6.37396318714e-06
181251.3556356518; -6.59147394267e-06
181308.0054778635; -6.41387542935e-06
181364.6730258993; -6.35504822482e-06
181421.3582852932; -6.44477485257e-06
181478.0612615808; -6.28604294255e-06
181534.7819602995; -6.15601150066e-06
181591.5203869884; -6.12996378687e-06
181648.2765471883; -5.9699967531e-06
181705.0504464415; -6.06182973104e-06
181761.8420902931; -5.95370898477e-06
181818.6514842886; -5.46073837047e-06
