% Module: Sweep, ID: c0p1t8p1cfm0
% Devices: DEV30370
% Time: 2025/11/21 14:18:39
% Demod 1 Sample X, /dev30370/demods/0/sample.X
% Frequency (Hz); Demod 1 Sample X  Amplitude (A)
% Demod 1 Sample Y, /dev30370/demods/0/sample.Y
% Frequency (Hz); Demod 1 Sample Y  Amplitude (A)
165864.374616573; -1.29321589671e-08
165935.9131017024; -1.3340499968e-08
166007.4824418896; -1.36263829327e-08
166079.0826504428; -1.42870279949e-08
166150.7137406751; -1.44048045352e-08
166222.3757259065; -1.48277652796e-08
166294.068619462; -1.4844238264e-08
166365.7924346731; -1.56647407366e-08
166437.5471848757; -1.5791051104e-08
166509.3328834127; -1.62870010757e-08
166581.1495436328; -1.60010282532e-08
166652.9971788891; -1.61467519307e-08
166724.8758025418; -1.72813466428e-08
166796.7854279567; -1.70626453787e-08
166868.7260685044; -1.74094135264e-08
166940.6977375624; -1.77868668458e-08
167012.7004485138; -1.82135142584e-08
167084.7342147465; -1.87232905184e-08
167156.7990496551; -1.89735946771e-08
167228.8949666403; -1.88842823637e-08
167301.0219791071; -1.94564844605e-08
167373.1801004678; -1.9503581239e-08
167445.36934414; -1.91333259955e-08
167517.5897235464; -1.97366312736e-08
167589.8412521163; -2.01277355521e-08
167662.1239432851; -1.99207349378e-08
167734.4378104926; -2.01947700099e-08
167806.7828671857; -2.04434377961e-08
167879.1591268169; -2.10121004486e-08
167951.5666028436; -2.1488867119e-08
168024.0053087299; -2.11419597952e-08
168096.475257946; -2.14454763661e-08
168168.9764639666; -2.17713300958e-08
168241.5089402732; -2.20589567175e-08
168314.0727003531; -2.19538549974e-08
168386.6677576994; -2.21029016568e-08
168459.2941258102; -2.23208059853e-08
168531.9518181904; -2.25223828477e-08
168604.6408483508; -2.32971177508e-08
168677.3612298068; -2.34291549909e-08
168750.1129760808; -2.35823303031e-08
168822.8961007011; -2.37604448943e-08
168895.7106172006; -2.36731251354e-08
168968.5565391193; -2.36378107416e-08
169041.4338800028; -2.37407308378e-08
169114.3426534018; -2.37741898163e-08
169187.2828728735; -2.39256485082e-08
169260.2545519814; -2.41739304826e-08
169333.2577042934; -2.40996059603e-08
169406.2923433845; -2.4223936926e-08
169479.3584828355; -2.41995418798e-08
169552.4561362321; -2.43795789126e-08
169625.5853171668; -2.43919371031e-08
169698.746039238; -2.47106228552e-08
169771.9383160489; -2.46865317859e-08
169845.1621612097; -2.48092588081e-08
169918.4175883363; -2.48148961979e-08
169991.7046110496; -2.48194243276e-08
170065.0232429774; -2.47369636994e-08
170138.3734977529; -2.48006963135e-08
170211.7553890155; -2.49255854209e-08
170285.1689304098; -2.49148853348e-08
170358.6141355869; -2.48318801301e-08
170432.091018204; -2.48419757554e-08
170505.5995919232; -2.49255936e-08
170579.1398704132; -2.50338623678e-08
170652.7118673491; -2.48392863204e-08
170726.3155964105; -2.49975737347e-08
170799.951071284; -2.48050492264e-08
170873.6183056622; -2.47662167266e-08
170947.3173132425; -2.47831950165e-08
171021.0481077293; -2.49586967715e-08
171094.8107028327; -2.49267477048e-08
171168.605112268; -2.47083661947e-08
171242.4313497572; -2.47196183742e-08
171316.2894290284; -2.46808204465e-08
171390.1793638144; -2.47052891298e-08
171464.1011678551; -2.4629919643e-08
171538.0548548964; -2.46921227816e-08
171612.0404386887; -2.46020628261e-08
171686.0579329899; -2.44608321374e-08
171760.1073515635; -2.43971644501e-08
171834.1887081779; -2.44070842401e-08
171908.3020166086; -2.43126782885e-08
